id,country,city,line,phase,start_year,end_year,rr,length,tunnel_pct,tunnel_km,elevated,atgrade,stations,cost_km_real,real_cost_total
7563,UA,Kharkiv,M3,M3 extension,2018,2024,0,3.5,100.00,3.5,0,0,2,506.0,1771.0
7561,UA,Kyiv,M3,M3 to Vynohradar,2018,2022,0,3.7,100.00,3.7,0,0,2,243.9,902.5
7562,UA,Kyiv,M4,M4,2021,2026,0,20,65.00,13,0,0,13,317.1,6342.9
7336,UK,London,Jubilee line,Jubilee line extension,1993,1999,0,16,80.00,12.8,0,0,11,562.6,9002.0
7417,UK,London,Crossrail,Elizabeth Line,2009,2022,1,21,100.00,21,0,0,8,1207.5,25358.5
7226,UK,London,Northern Line,Northern Line Extension,2015,2021,0,3.2,100.00,3.2,0,0,2,724.4,2318.1
7161,US,Boston,Green Line,Green Line Extension,2013,2022,0,7.6,0.00,0,0.78,6.82,7,374.9,2848.9
,US,Chicago,Orange Line,Orange Line,1987,1993,0,14.4,0,0,4,10.4,7,85.6,1232.3
9817,US,Honolulu,HART,HART,2011,2026,0,32,0.00,0,0,0,21,455.8,14586.5
9818,US,Los Angeles,Crenshaw/LAX Line,Crenshaw/LAX Line,2014,2022,0,13.7,34.00,4.7,0,0,9,197.4,2704.4
7155,US,Los Angeles,Regional Connector,Regional Connector,2014,2022,0,3.1,100.00,3.1,0,0,3,726.6,2252.6
7154,US,Los Angeles,Purple Line,Purple Phase 1,2014,2024,0,6.3,100.00,6.3,0,0,3,570.1,3591.8
7153,US,Los Angeles,Purple Line,Purple Phase 2,2018,2026,0,4.2,100.00,4.2,0,0,2,679.3,2853.0
7152,US,Los Angeles,Purple Line,Purple Phase 3,2020,2027,0,4.2,100.00,4.2,0,0,2,906.1,3805.7
9819,US,Miami,Metrorail extension to MIA,Metrorail extension to MIA,2009,2012,0,3.9,0.00,0,3.9,0,1,191.7,747.5
7408,US,New York,Line 7,7 extension,2007,2014,0,1.6,100.00,1.6,0,0,1,2215.8,3545.3
7409,US,New York,Second Avenue,Second Avenue Phase 1,2007,2016,0,2.7,100.00,2.7,0,0,3,2440.2,6588.7
7411,US,New York,East Side Access,East Side Access,2007,2022,1,2.8,100.00,2.8,0,0,1,5339.1,14949.4
7416,US,New York,Gateway,Gateway,2019,2026,1,5.3,100.00,5.3,0,0,0,1894.9,10042.9
7410,US,New York,Second Avenue,Second Avenue Phase 2,2019,2029,0,2.6,100.00,2.6,0,0,3,2672.7,6949.0
,US,Philadelphia,Regional Rail,Center City Commuter Connection,1976,1984,1,2.9,69,2,,,1,444.8,1290.0
7160,US,San Francisco,Central Subway,Central Subway,2010,2021,0,2.7,100.00,2.7,0,0,4,841.6,2272.3
7163,US,San Francisco,BART to San Jose,BART to San Jose,2024,2036,0,9.6,83.00,8,0,0,4,1270.8,12200.0
7151,US,Seattle,U-Link,U-Link,2009,2016,0,5.1,100.00,5.1,0,0,2,483.1,2463.6
9820,US,Seattle,West Seattle and Ballard,West Seattle and Ballard,2026,2036,0,19,32.00,6,0,0,13,808.4,15359.5
9825,US,Washington,Silver Line,Silver Line Phase 1,2009,2014,0,18.8,4.00,0.7,0,0,5,227.1,4270.2
9826,US,Washington,Silver Line,Silver Line Phase 2,2013,2022,0,18.3,0.00,0,0,0,6,219.0,4008.0
9515,UZ,Tashkent,Sergeli Line,Sergeli Line,2017,2020,0,6.94,0.00,0,6.94,0,6,131.4,912.1
9516,UZ,Tashkent,Yunusabad Line,Yunusabad Line extension,2017,2020,0,2.9,100.00,2.9,0,0,2,276.0,800.5
7243,VN,Hanoi,Line 2,Line 2,2011,2021,0,11.5,74.00,8.5,2.99,0,12,291.2,3348.6
7242,VN,Hanoi,Line 3,Line 3,2010,2024,0,12.5,32.00,4,8.5,0,12,471.1,5889.3
7496,VN,Ho Chi Minh City,Line 1,Line 1,2012,2021,0,19.7,13.00,2.6,0,0,14,374.3,7373.0
7497,VN,Ho Chi Minh City,Line 2,Line 2 first phase,2020,2026,0,11.3,82.00,9.3,0,0,11,565.8,6393.6
7498,VN,Ho Chi Minh City,Line 5,Line 5 first phase,2025,2029,0,8.9,84.00,7.5,0,0,7,588.9,5241.6
,UK,London,Docklands Light Railway,Extension to London City Airport,2004,2005,0,4.4,0.00,0,2.8,1.6,4,60.4,265.5
,UK,London,Docklands Light Railway,Extension to Greewich/Lewisham,1996,1999,0,4.2,40.50,1.7,0.8,1.7,7,128.9,541.4
,UK,London,Docklands Light Railway,Extension to Woowich Arsenal,2005,2009,0,2.5,91.13,2.3,0,0.25,1,166.3,415.6
,UK,London,Docklands Light Railway,Bank Extension,1988,1991,0,2,80,1.79,0.2,0,1,263.0,528.6
,UK,London,Docklands Light Railway,DLR Beckton Extension,1991,1994,0,12.73,0.00,0,4.92,7.81,12,71.7,912.9
,UK,London,Heathrow Express,Heathrow Express,1993,1998,1,11.12,61.15,6.8,2.24,2.08,2,123.4,1372.3
,UK,London,West Anglian Mainline,Stansted Rail link,1986,1991,1,3.02,30,0.9,,2.12,1,53.1,160.3
,UK,London,Victoria Line,Brixton extension,1967,1971,0,5.63,100,5.63,0,0,4,71.8,404.1
,UK,London,Victoria Line,Original Walthamstow Central - Victoria,1962,1969,0,16.989,100,16.989,0,0,12,93.7,1592.2
,UK,London,Jubilee Line,Jubilee-Fleet Line Baker Street - Charing Cross,1971,1979,0,4.43,100,4.43,0,0,4,148.8,659.1
,UK,London,Piccadilly Line,Heathrow Piccadilly Extension 1,1971,1977,0,5.6,84,4.69,0,0.91,2,46.2,258.6
,UK,London,Piccadilly Line,Heathrow Piccadilly Extension 2,1983,1986,0,2.9,100,2.9,0,0,1,42.2,122.4
,UK,London,Barking Riverside Extension,London Overground Suffragette Line,2017,2022,Yes,4,0,,1.5,2.4,1,140.6,562.4
,JP,Sendai,Namboku Line (Sendai),Yaotome - Izumi-Chuo,1986,1992,0,1.1,18.18,0.2,1,,1,109.1,120.0
,JP,Sendai,Namboku Line (Sendai),Tomisawa - Yaotome,1981,1987,0,15.44,76,11.59,2.75,,16,210.2,3245.7
,JP,Sendai,Tozai Line (Sendai),Arai - Yagiyama Zoological Park,2006,2015,0,14.4,95.83,13.78,0.6,,13,212.3,3057.0
,JP,Sendai,Airport Line,Sendai Airport - Natori,2002,2007,1,3.55,8,0.3,5.8,0.4,3,119.7,424.8
,JP,Sendai,Senseki Line,Nigatake - Aobadoori,1981,2000,1,3.9,89.74,3.5,,0.4,5,202.8,790.8
,JP,Sapporo,Namboku (Sapporo) Line,Kita Junijijou -Hiragishi,1969,1971,,7.95,100,7.95,,,9,139.5,1109.1
,JP,Sapporo,Namboku (Sapporo) Line,Hiragishi - Makomanai,1970,1971,,4.675,0.04,0.175,4.5,,4,91.2,426.6
,JP,Sapporo,Namboku (Sapporo) Line,Kita Junijijou -Asabu,1974,1978,,2.2,100,2.2,,,3,317.5,698.4
,JP,Sapporo,Tozai (Sapporo),Miyanosawa-Kotoni,1995,1999,,2.79,100,2.79,,,3,204.9,571.5
,JP,Sapporo,Tozai (Sapporo),Kotoni-Shiroishi,1973,1976,,10.67,100,10.67,,,11,206.3,2201.0
,JP,Sapporo,Tozai (Sapporo),Shiroish-Shin-Sapporo,1978,1982,,7.34,100,7.34,,,7,268.0,1967.5
,JP,Sapporo,Toho Line,Sakaemachi-Hosuisusukino,1983,1988,,8.995,100,8.995,,,9,357.9,3218.9
,JP,Sapporo,Toho Line,Hosuisusukino-Fukuzumi,1990,1994,,5.535,100,5.535,,,5,212.1,1174.1
,JP,Tokyo,Yokohama Subway Blue Line,Shin-Yokohama-Azumino,1987,1993,,10.7,39.25,4.2,6.5,,7,228.5,2445.5
