s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,"Platform Length 
(Meters)",Source1,Cost,Currency,Year,PPP rate,Real cost,"Cost/km
 (Millions)",Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2025 dollars),Cost/km (2025 dollars),Source2,Reference,,
,CA,Vancouver,Expo Line,Expo Line Surrey-Langley extension,2022,,0,16,0%,0,,,8,,,"3,940",CAD,2021,0.798,3144.12,196.5,0,0,0,1,1.188745987,"3,737.6",233.6,Media,https://globalnews.ca/news/8016045/justin-trudeau-federal-funding-skytrain-surrey-langley/,https://bc.ctvnews.ca/federal-government-providing-up-to-1-3-billion-for-surrey-langley-skytrain-extension-1.5502944,
7101,CA,Vancouver,Millennium,UBC,2028,,,,,,,,,,Plan,,,,,,,,,,,#N/A,,,,https://www.translink.ca/-/media/translink/documents/about-translink/governance-and-board/council-minutes-and-reports/2022/april/agenda_mayors_council_board_public_mtg_20220422.pdf,,
7560,CH,Geneva,CEVA,CEVA,2013,2019,1,8.8,96.00%,8.4,0.14,0.212,4,,Measured,"1,567",CHF,2016,0.68,1065.56,121.1,1,8.8,8.4,0,1.342104605,"1,430.1",162.5,Plan,https://www.ceva.ch/2017/05/11/financement-et-organisation/?b=https://www.ceva.ch/category/projet,,
,CH,Lausanne,Line 2,Line 2,2002,2008,0,6,,4.5,1.5,0,14,30,Wiki,410,CHF,2000,0.65,266.5,44.4,1,6,4.5,0,1.870583624,498.5,83.1,Plan,https://archive.wikiwix.com/cache/index2.php?url=http%3A%2F%2Fwww.publidoc.vd.ch%2FguestDownload%2Fdirect%2FTexte%2520adopt%25C3%25A9%2520par%2520CE.pdf%3Fpath%3D%2FCompany%2520Home%2FVD%2FCHANC%2FSIEL%2Fantilope%2Fobjet%2FCEGC%2FExpos%25C3%25A9%2520des%2520motifs%2F2002%2F05%2F174061_34_Texte%2520adopt%25C3%25A9%2520par%2520CE_20020604_234589.pdf%2Findex.html#federation=archive.wikiwix.com&tab=url,,
7529,CH,Lucerne,Zentralbahn,Zentralbahn,2008,2013,1,1.5,90.00%,1.4,0,0,1,,Plan,220,CHF,2010,0.68,149.736,99.8,1,1.5,1.4,0,1.477209983,221.2,147.5,Plan,https://www.luzernerzeitung.ch/zentralschweiz/luzern/seetalplatz-und-zentralbahn-60-millionen-guenstiger-als-budgetiert-ld.1150224,,
7530,CH,Zurich,Durchmesserlinie,Durchmesserlinie,2007,2014,1,9.6,50.00%,4.8,0.2,4.6,1,,Trade,"2,030",CHF,2010,0.68,1380.4,143.8,1,9.6,4.8,0,1.477209983,"2,039.1",212.4,Trade,https://www.railwaygazette.com/infrastructure/cross-city-tunnel-opening-increases-capacity-in-zurich/39619.article,,
7338,CL,Santiago,Project 63,Project 63,2013,2019,0,37,100.00%,37,0,0,28,,Plan,"3,000",USD,2016,1.7,5100,137.8,0,0,0,0,1.342104605,"6,844.7",185.0,Plan,https://www.metro.cl/files/documentos/metro-investor-201709.pdf,,
7337,CL,Santiago,Line 7,Line 7,2021,2026,0,24.8,100.00%,24.8,0,0,21,,Plan,"2,900",USD,2022,1.7,4930,198.8,0,0,0,0,1.100662897,"5,426.3",218.8,Trade,https://www.railwaygazette.com/projects-and-planning/santiago-tenders-line-7-construction/56621.article,,
7641,CN,Beijing,Line 1,Line 1 Phase 1,1965,1969,0,23.6,100.00%,23.6,0,0,17,,Baidu,700.00,CNY,1965,,,,0,0,0,0,10.22585714,,,Media,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%811%E5%8F%B7%E7%BA%BF/7646800?fromtitle=%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%81%E4%B8%80%E5%8F%B7%E7%BA%BF&fromid=5427835&fr=aladdin,,
7649,CN,Beijing,Line 13,Line 13,1999,2003,0,40.85,0.00%,0,13.855,26.995,17,117,Wiki,"6,570.00",CNY,1999,0.3670,2411.19,59.0,0,0,0,0,1.933460384,"4,661.9",114.1,Media,http://www.wikiwand.com/zh-sg/%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%8113%E5%8F%B7%E7%BA%BF,,
